Problem statement ID,Title,Description,Tags
RUTH050,Campus Car/Bike Parking Manager,Build a simple IoT-ready system where students check real-time parking availability on campus.,"campus-tech, IoT, transport, mobility"
RUTH051,Plastic-Free Shop Finder,"Create a map-based tool listing stores selling eco-friendly, plastic-free products nearby.","sustainability, environment, hyperlocal, marketplace"
RUTH052,Festival Crowd Density Monitor,Build a prototype where volunteers mark live crowd density levels at different festival locations to improve safety.,"civic-tech, safety, crowdsourcing, events"
RUTH053,College Canteen Digital Menu App,Students wait in long queues without knowing menu/pricing. Build a simple menu+order app for campus canteens.,"education, campus-tech, food-tech, students"
RUTH054,Electricity Consumption Tracker,Allow households to input monthly consumption and visualize patterns with cost-saving suggestions.,"energy, analytics, sustainability, utilities"
RUTH055,Elderly Assistance Request System,"Build a mobile platform where senior citizens can request help for groceries, transport, or medical emergencies from volunteers","civic-tech, health, community, elderly"
RUTH056,Online Panchayat Feedback System,Build a portal for villagers to post feedback/suggestions for local Panchayat projects.,"rural-tech, governance, civic-tech, community"
RUTH057,Hyperlocal Disaster Alert Platform,"Create a real-time alert system for floods, landslides, or heavy rains using crowdsourced updates.","disaster management, civic-tech, environment, alerts"
RUTH058,Farmers Market Price Aggregator,Aggregate and display daily crop prices from multiple mandis in one simple interface.,"agriculture, rural-tech, analytics, marketplace"
RUTH059,Simple Sign Language Translator,Build a tool translating text/speech into basic Indian Sign Language gestures using preloaded animations,"accessibility, AI, inclusivity, health-tech"
RUTH060,Waste Segregation Education Game,Create a fun mobile game teaching kids how to segregate wet/dry waste properly.,"environment, education, gamification, kids"
RUTH061,Bus Stop Digital Notice Board,Build a prototype where bus arrival times and route updates show up on low-cost digital displays at bus stops.,"transport, civic-tech, mobility, IoT"
RUTH062,College Club Event Management Tool,"Help student clubs manage event registrations, announcements, and attendance digitally.","education, campus-tech, events, productivity"
RUTH063,Temple Donation Transparency Dashboard,"Build a system showing temple donations, expenditures, and community project funding visually.","civic-tech, religion, transparency, finance"
RUTH064,Auto-Rickshaw Fare Estimator,Build a fare calculator for cities lacking digital fare meters using standard rate charts,"transport, mobility, fintech, hyperlocal"
RUTH065,College Bus Seat Reservation System,Students often miss buses due to overcrowding. Build an app for reserving seats in advance.,"education, transport, scheduling, students"
RUTH066,Digital Complaint Box for Schools,Build an anonymous platform where students can submit complaints or suggestions to teachers/admins.,"education, civic-tech, students, safety"
RUTH067,NGO Resource Donation Platform,"NGOs often lack books, clothes, or equipment. Build a platform matching donors with NGO requirements.","civic-tech, NGO, marketplace, charity"
RUTH068,Parking Fine Payment Portal,Build a platform where people can check and pay pending traffic/parking fines online easily.,"transport, civic-tech, fintech, governance"
RUTH069,Simple Local Language News Aggregator,Aggregate district-level news in local languages for rural readers.,"rural-tech, news, inclusivity, community"
RUTH070,Urban Heat Island Mapper,Crowdsource temperature readings from different city areas to map heat islands visually,"environment, analytics, crowdsourcing, urban-tech"
RUTH071,College Carpool Fuel Cost Splitter,Students sharing cars often split fuel costs manually. Build a calculator to automate cost sharing based on distance,"transport, fintech, students, mobility"
RUTH072,Local Library Book Availability App,Build a portal where users can check if books are available in nearby public libraries,"education, community, library-tech, students"
RUTH073,Emergency Helpline Voice Bot,Build a simple IVR or chatbot giving first-level instructions before connecting to real emergency services,"civic-tech, health-tech, AI, safety"
RUTH074,Farmers’ Weather Diary,"Build a tool for farmers to log daily rainfall, temperature, and pest observations for better planning.","agriculture, rural-tech, analytics, environment"
RUTH075,Urban Tree Plantation Tracker,Create a map-based system where people log planted trees with growth updates over time.,"environment, civic-tech, crowdsourcing, sustainability"
RUTH076,Civic Issue Photo Reporter,"Build a lightweight mobile app to click and upload photos of potholes, garbage, or water leaks for authorities.","civic-tech, crowdsourcing, urban-tech, safety"
RUTH077,Street Vendor Digital Payments App,Build a simple UPI-based QR code system for small vendors to accept payments without smartphones.,"fintech, MSME, digital inclusion, payments"
RUTH078,Public Transport Lost-Item Portal,Build a portal for reporting and finding lost items in city buses or metros.,"civic-tech, transport, community, urban-tech"
RUTH079,Rural Handpump Maintenance Alerts,Build a system for villagers to report broken handpumps and notify local repair authorities.,"rural-tech, civic-tech, water management, alerts"
RUTH080,Community Composting Scheduler,Build a platform to organize composting drives in housing societies with volunteer coordination.,"environment, community, waste management, scheduling"
RUTH081,College Alumni Job Referral Board,Build a portal where alumni post job referrals exclusively for students from their college.,"education, alumni, job-tech, networking"
RUTH082,Community Rain Alert SMS System,Build a tool that sends automated rain alerts to farmers and rural households using SMS APIs.,"rural-tech, weather, civic-tech, alerts"
RUTH083,School Bus Safety Checklist App,"Drivers complete a simple checklist before starting trips, ensuring bus safety compliance.","education, safety, transport, mobile-app"
RUTH084,College Placement Preparation Portal,"Create a portal with mock tests, previous-year placement papers, and tips for final-year students.","education, career, students, edtech"
RUTH085,Hyperlocal Compost Bin Locator,Help people find nearby compost bins for food and garden waste disposal.,"environment, civic-tech, waste management, hyperlocal"
RUTH086,Online RTI Filing Helper,Build a tool guiding citizens to file Right-to-Information applications step-by-step with sample templates.,"governance, civic-tech, transparency, legal"
RUTH087,Elderly Health Reminder App,"Create a mobile app that reminds senior citizens to take medicines, drink water, and book doctor appointments.","health-tech, elderly, reminders, mobile-app"
RUTH088,College Lost Notes Recovery Tool,"Students upload lost notes/images, and peers can respond if they have backups.","education, students, collaboration, campus-tech"
RUTH089,Women Entrepreneur Directory,Build a portal listing women-led businesses with contact info and product catalogs,"entrepreneurship, women empowerment, MSME, marketplace"
RUTH090,Local Disaster Shelter Finder,"During floods or cyclones, show locations of nearby relief shelters with basic facilities.","disaster-tech, civic-tech, maps, alerts"
RUTH091,Simple Crowd Donation Splitter,Collect donations digitally for small causes and split funds transparently among beneficiaries.,"fintech, charity, transparency, community"
RUTH092,Village Public Transport Tracker,Show real-time status of shared autos or buses on a simple map for villagers,"rural-tech, mobility, maps, transport"
RUTH093,College WiFi Feedback System,"Students report WiFi outages, and admins view real-time status dashboards.","campus-tech, connectivity, civic-tech, feedback"
RUTH094,Daily Wage Attendance Tracker,Track attendance and wages for daily laborers on construction sites via a simple mobile app.,"gig-economy, labor-tech, fintech, hyperlocal"
RUTH095,Village Electricity Outage Map,Show areas facing frequent power cuts based on crowdsourced outage reports.,"rural-tech, energy, civic-tech, analytics"
RUTH096,Affordable Housing Listings App,Build a platform listing verified low-cost rental housing options in cities,"real-estate, housing, urban-tech, marketplace"
RUTH097,Rural Health Worker Scheduling Tool,Create a scheduling portal for ASHA workers to manage health camp visits efficiently.,"health-tech, rural-tech, scheduling, civic-tech"
RUTH098,Local Kirana Credit Manager,Many kirana stores offer goods on credit. Build a digital ledger for tracking repayments,"fintech, MSME, rural-tech, bookkeeping"
RUTH099,School Mid-Day Meal Feedback System,"Parents and teachers rate food quality daily via SMS or mobile app, data visible to authorities.","education, civic-tech, health, rural-tech"
RUTH100,Community Solar Panel Monitor,Build a simple dashboard for solar panel owners to log power generation manually and track savings.,"energy, sustainability, analytics, rural-tech"
RUTH101,Festival Traffic Diversion Alert Tool,Notify citizens about traffic diversions during major festivals or rallies in real-time.,"civic-tech, transport, alerts, hyperlocal"
RUTH102,Job Skills Gap Analyzer,"Users upload resumes, and the system highlights missing skills for specific job roles","career-tech, analytics, edtech, jobs"
RUTH103,College Library Study Room Booking,Students reserve library study rooms online to avoid conflicts,"campus-tech, scheduling, education, productivity"
RUTH104,Smart Rainwater Storage Monitor,IoT-enabled storage tanks send alerts when nearing full capacity to avoid overflow.,"environment, IoT, sustainability, rural-tech"
RUTH105,Digital Village Notice Board,"Villagers view government notices, schemes, and updates on a shared digital portal.","rural-tech, governance, civic-tech, community"
RUTH106,Farmer Crop Disease Hotline,"Farmers send images via WhatsApp, and experts reply with disease diagnosis and treatment tips.","agriculture, rural-tech, health-tech, chatbots"
RUTH107,College Timetable Clash Detector,Build a tool that highlights lecture clashes for students with multiple electives.,"education, analytics, campus-tech, scheduling"
RUTH108,Public Transport Ticket QR Generator,Replace paper tickets with QR codes for buses in small towns using a simple mobile app.,"transport, civic-tech, urban-tech, mobility"
RUTH109,Local Shops Digital Loyalty Cards,Build an app for small businesses to give digital loyalty points to repeat customers.,"MSME, fintech, hyperlocal, marketing"
RUTH110,Neighborhood Crime Alert Portal,"Residents report suspicious activity anonymously, shared with local police stations.","civic-tech, safety, community, hyperlocal"
RUTH111,Village Rainwater Pond Mapper,Map existing ponds/tanks for rainwater harvesting projects using crowdsourced inputs.,"rural-tech, water, environment, civic-tech"
RUTH112,Low-Bandwidth Education Content App,Build a video content delivery app optimized for low internet bandwidth rural areas.,"education, rural-tech, edtech, inclusivity"
RUTH113,College Internship Finder,"Aggregate internships by domain, stipend, and city for students in one portal.","career-tech, education, students, jobs"
RUTH114,City Parking Slot Auction Tool,Auction premium parking slots online in congested markets for hourly use.,"urban-tech, fintech, mobility, governance"
RUTH115,Rural Telemedicine Appointment System,Villagers book video consultations with doctors on a low-cost platform.,"health-tech, rural-tech, telemedicine, scheduling"
RUTH116,Digital Election Candidate Info Board,"Citizens view candidate profiles, promises, and past work on one simple platform.","civic-tech, elections, transparency governance"
RUTH117,College Attendance Gamification App,Reward students for maintaining high attendance using badges and leaderboards.,"education, gamification, campus-tech, students"
RUTH118,Public WiFi Feedback Collector,Users rate public WiFi spots on speed and reliability for others to view,"civic-tech, connectivity, crowdsourcing, analytics"
RUTH119,Women Safety Walk Score Map,"Rate streets based on lighting, CCTV presence, and safety for female pedestrians.","safety, civic-tech, maps, crowdsourcing"
RUTH120,College Used Books Marketplace,Students buy and sell second-hand textbooks online within campus,"education, marketplace, campus-tech, students"
RUTH121,Digital Village Festival Calendar,"Create a common online calendar for village fairs, festivals, and cultural events.","rural-tech, culture, scheduling, community"
RUTH122,Public Grievance SMS Registration,"Citizens register civic complaints via SMS, and authorities track them on a dashboard.","civic-tech, rural-tech, governance, alerts"
RUTH123,College Scholarship Finder,"Students search for available scholarships based on income, state, and academic level.","education, career-tech, students, finance"
RUTH124,Real-Time River Water Level Alerts,Send flood alerts when river water levels cross danger thresholds using sensor data.,"disaster-tech, environment, civic-tech, rural-tech"
RUTH125,Community EV Charging Slot Booking,Residents reserve EV charging slots in shared apartment stations.,"EV, energy, mobility, sustainability"
RUTH126,College Debate & Hackathon Portal,"Post details of debates, hackathons, and coding contests with registration options.","education, campus-tech, events, students"
RUTH127,Digital Signage for Bus Announcements,Install low-cost LED signs at bus stands showing next bus arrival info.,"transport, IoT, civic-tech, mobility"
RUTH128,School Science Project Ideas Hub,Teachers post science fair ideas and students submit project demos online.,"education, students, STEM, collaboration"
RUTH129,Public Bench Damage Reporter,Citizens report broken benches or park equipment to municipal authorities with images,"civic-tech, parks, safety, crowdsourcing"
RUTH130,AI-Based Crop Yield Predictor,Build a simple ML model using weather and soil data to predict crop yields.,"agriculture, AI, rural-tech, analytics"
RUTH131,Rural Job Skills Training Portal,Post free skill-training videos and materials for rural youth seeking employment.,"rural-tech, career-tech, education, inclusivity"
RUTH132,Smart Dustbin Fill-Level Notifier,"Build an IoT-based system to alert municipal workers when public dustbins are nearly full, preventing overflow.","IoT, Environment, Smart City"
RUTH133,Auto Rickshaw Fare Estimator,A mobile app to calculate approximate auto fares using GPS tracking to avoid overcharging in Indian cities,"Mobile App, GPS, Transport"
RUTH134,College Event Reminder Bot,"A WhatsApp bot for colleges that sends automated reminders for cultural, tech, and sports events.","Chatbot, Education, Automation"
RUTH135,Missing Child Alert System,A platform integrated with police data where missing child reports are matched with found-child reports in real time.,"Social Impact, AI, Police Tech"
RUTH136,Real-Time Blood Bank Finder,A web app to show nearby hospitals/blood banks with available blood units based on blood group and location,"Healthcare, Web App, Emergency"
RUTH137,Digital Queue System for Temples,A ticket-based system for popular temples to reduce overcrowding by assigning time slots to devotees.,"Web App, Religion Tech, Crowd Management"
RUTH138,Water Quality Checker Using Crowdsourcing,"Users report local water issues (color, odor, supply shortage), and the app visualizes affected areas.","Environment, Data Visualization, Civic Tech"
RUTH139,Second-Hand Books Exchange Platform,A college-level platform for students to exchange used textbooks within their campus.,"Education, Marketplace, Web App"
RUTH140,Parking Availability Map,A simple app where shop owners/parking lot owners mark free spots to help drivers find real-time parking,"Mobility, Mapping, IoT"
RUTH141,Noise Pollution Level Reporter,"A mobile app to report noise pollution hotspots (wedding halls, factories, traffic) for municipal regulation.","Environment, Civic Tech, Mobile App"
RUTH142,Street Vendor Locator,Map-based platform for local street vendors to mark their location so customers can find them easily.,"Mapping, Small Business, Economy"
RUTH143,Public Toilet Hygiene Rating,"Users rate public toilets, and data is shown on a city-wide hygiene map to encourage cleanliness.","Health, Civic Tech, Data Visualization"
RUTH144,AI Resume Builder for Freshers,A simple web tool for students to generate professional resumes using basic input forms.,"Career, AI, Web App"
RUTH145,College Mess Food Feedback System,An app for students to give daily feedback on hostel mess food quality with ratings and comments.,"Education, Feedback, Mobile App"
RUTH146,Crop Disease Detection via Images,A small ML model that detects common crop diseases from uploaded leaf images.,"Agriculture, AI/ML, Computer Vision"
RUTH147,Rainwater Harvesting Suggestion Tool,A web app that calculates possible rainwater harvesting potential based on roof area and rainfall data.,"Environment, Sustainability, Web App"
RUTH148,Daily Wage Worker Finder,"A platform for connecting daily wage workers (plumbers, electricians) with households in nearby areas.","Economy, Marketplace, Mobile App"
RUTH149,Traffic Violation Reporter,Citizens upload traffic violation videos/photos that are shared with traffic police for quick action.,"Civic Tech, Mobile App, Governance"
RUTH150,Medicine Expiry Date Reminder,A mobile app to scan medicine barcodes and alert users before expiry dates to prevent wastage.,"Healthcare, Mobile App, IoT"
RUTH151,LPG Cylinder Delivery Tracker,Track delivery timings of booked LPG cylinders to reduce delays in small towns and cities.,"Utility, Mobile App, Civic Tech"
RUTH152,Women Safety SOS App,A one-tap SOS feature that shares live location and audio recording with emergency contacts.,"Safety, Mobile App, Civic Tech"
RUTH153,College Lost & Found Board,A digital platform where students can report lost or found items within campus,"Education, Web App, Utility"
RUTH154,Local Festival Event Finder,A mobile app that lists cultural/festival events happening in a city with locations and timings.,"Culture, Tourism, Mobile App"
RUTH155,Eco-Friendly Travel Route Planner,Suggests travel routes using public transport or walking to reduce carbon footprint.,"Environment, Mobility, Web App"
RUTH156,Smart Complaint Routing for Municipalities,"Citizen complaints (garbage, water issues) automatically routed to relevant municipal departments.","Civic Tech, Automation, Web App"
RUTH157,Interactive Budget Explainer for Citizens,A platform simplifying state and central budgets into interactive infographics for common people.,"Finance, Governance, Data Visualization"
RUTH158,Food Donation Matcher,Connects restaurants/hotels with leftover food to NGOs serving the needy.,"Social Impact, Food, Mobile App"
RUTH159,Volunteer Task Management System,A tool for NGOs to assign and track tasks for volunteers digitally,"Social Impact, Web App, Productivity"
RUTH160,AI-Based Job Role Suggestion for Students,"Students enter their skills, and the app suggests suitable job roles or internships.","Career, AI, Education"
RUTH161,Localized Disaster Alert App,"Build a mobile app that sends real-time alerts about floods, cyclones, or earthquakes in the user’s local language using government data APIs.","Disaster Management, Mobile App, APIs"
RUTH162,Micro Donation Platform for Farmers,Create a simple platform for users to donate small amounts directly to verified farmer causes using UPI.,"Fintech, Agriculture, Crowdfunding"
RUTH163,AI-based Resume Keyword Matcher,Build a tool that analyzes job descriptions and highlights missing keywords in a candidate’s resume for better ATS ranking.,"AI, Recruitment, HR-Tech"
RUTH164,Local Language Blood Bank Finder,"A web portal where users can find nearby blood banks with available stock and contact info, supporting regional languages","Healthcare, Localization, Web App"
RUTH165,Electric Vehicle (EV) Charging Station Locator,Build a real-time map to display available EV charging stations in a city using open data sources.,"EV, Maps, Sustainability"
RUTH166,Public Toilet Hygiene Rating App,Users can rate public toilets based on cleanliness and accessibility; results are shown on an interactive city map.,"Civic Tech, IoT (optional), Mobile App"
RUTH167,College Event Management Portal,"Build a lightweight event portal for colleges to post events, register participants, and share results quickly.","EdTech, Event Management, Web App"
RUTH168,QR-based Digital Attendance for Seminars,Build a QR-code-based system for quick attendance logging in seminars or workshops with downloadable reports,"EdTech, Automation, QR Code"
RUTH169,Local Kirana Store Inventory Tracker,Create a simple inventory tracker for small stores to manage stock digitally with minimal inputs.,"Retail, Small Business, Web App"
RUTH170,AI Chatbot for RTI (Right to Information) Queries,A chatbot that helps citizens draft and send RTI requests based on templates and FAQs,"AI, Governance, Legal Tech"
RUTH171,Smart Water Usage Reminder,Build a mobile app that reminds users about water-saving practices and tracks daily water consumption.,"Sustainability, IoT (optional), Mobile App"
RUTH172,College Lost & Found Portal,A quick web portal for students to report and find lost items within the campus.,"EdTech, Community, Web App"
RUTH173,Real-time Air Quality Index App,Show real-time AQI levels from public APIs with simple health recommendations based on air quality.,"Environment, IoT, APIs"
RUTH174,Digital Queue System for Clinics,Patients can book slots and get real-time updates on waiting time for clinics or hospitals.,"Healthcare, Automation, Web App"
RUTH175,Traffic Violation Reporting Portal,Citizens can report traffic violations by uploading images/videos with location info to a centralized portal.,"Civic Tech, Governance, Web App"
RUTH176,Scholarship Finder for Indian Students,"Build a portal that aggregates scholarships based on eligibility criteria like income, state, or education level.","EdTech, Finance, Web App"
RUTH177,Smart Parking Availability App,Show real-time availability of parking spots in a given area using crowdsourced data.,"Smart City, Mobile App, IoT (optional)"
RUTH178,Local Vegetable Price Tracker,Display real-time prices of vegetables from different markets in a city for consumers and vendors.,"Agriculture, Retail, APIs"
RUTH179,Automatic Fee Reminder System for Schools,Build a system that sends automated SMS/email reminders for upcoming fee payments.,"EdTech, Automation, Communication"
RUTH180,Digital Notice Board for Colleges,A centralized web portal for college notices accessible to students and faculty in real time.,"EdTech, Communication, Web App"
RUTH181,Road Quality Feedback App,Citizens can mark potholes and bad roads on a city map for municipal authorities to review.,"Civic Tech, Smart City, Maps"
RUTH182,Medication Reminder App for Elderly,A simple mobile app that reminds elderly people to take their medicines on time.,"Healthcare, Mobile App, Accessibility"
RUTH183,Government Scheme Eligibility Checker,Build a tool where citizens enter basic info to find out which government schemes they are eligible for.,"Governance, Fintech, Web App"
RUTH184,E-waste Collection Finder,Show nearby e-waste collection centers and educate users on safe disposal practices,"Sustainability, Civic Tech, Web App"
RUTH185,Emergency SOS App with Auto-location Sharing,"On pressing a button, user’s location and emergency message are shared with preset contacts.","Safety, Mobile App, GPS"
RUTH186,Local Train Delay Tracker,Build a real-time tracker for local train delays with data sourced from crowdsourcing or APIs.,"Transport, Real-time Data, Web App"
RUTH187,Mental Health Self-assessment Chatbot,Users can chat with an AI bot for preliminary mental health self-assessment and resources.,"AI, Healthcare, Mental Health"
RUTH188,On-demand Home Tutor Finder,"A portal for students to find home tutors based on subject, location, and availability.","EdTech, Marketplace, Web App"
